"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1648",304.39,305.79,301.91,305.23,2973100,305.23
"1649",309.25,309.25,302,303.48,2520700,303.48
"1650",303.16,305.06,300.56,301.06,1999600,301.06
"1651",303.02,303.84,298.04,298.94,2000500,298.94
"1652",299,304.5,296.75,303.4,5405800,303.4
"1653",299.55,313.62,295.55,312.01,8817500,312.01
"1654",311.07,313,305.9,306.1,3211800,306.1
"1655",307.72,309.78,301.57,302.41,3053400,302.41
"1656",303.91,305.15,301,301.22,1891300,301.22
"1657",303.08,306.21,298.9,305.57,2971700,305.57
"1658",304.63,305.33,301.5,304.21,2502600,304.21
"1659",303.4,303.62,298.3,300.99,2233200,300.99
"1660",300.51,301.36,297.52,300.75,1849000,300.75
"1661",300.15,300.99,296.15,296.91,1961000,296.91
"1662",298.52,298.52,292.55,295.74,2343400,295.74
"1663",295.68,299.27,294.3,297.26,1950300,297.26
"1664",295.79,299.08,295.26,296.69,1504500,296.69
"1665",295.88,296.37,290.67,293.97,2349900,293.97
"1666",294.29,294.29,290.54,291.34,1415000,291.34
"1667",288.79,289.3,285.15,286.47,2261400,286.47
"1668",286.55,288.33,284.5,284.82,2422500,284.82
"1669",285.19,289.56,283.48,285.57,2477400,285.57
"1670",285.88,289.51,285.74,287.09,1586300,287.09
"1671",285.09,288.5,283.83,284.57,1815300,284.57
"1672",284.8,289.87,284.8,289.73,1422600,289.73
"1673",291.21,291.5,287.9,290.01,1961900,290.01
"1674",290.43,291.05,285.62,286.21,1711700,286.21
"1675",283.87,285.28,279.74,280.93,2476000,280.93
"1676",280.36,283,279.33,281.58,1457100,281.58
"1677",281.45,285.98,280,283.98,1566400,283.98
"1678",284.59,284.87,280,280.98,1534700,280.98
"1679",284.73,291.39,284.17,288.8,2897600,288.8
"1680",288.33,295.23,287.58,293.64,2438600,293.64
"1681",293.63,297,292.71,294.1,1816600,294.1
"1682",295.33,298.88,290.8,295.86,2292000,295.86
"1683",297.22,299.96,296.6,299.71,1643600,299.71
"1684",300.55,301,297.22,300.36,1778400,300.36
"1685",298.91,301.86,297.84,299.64,1742600,299.64
"1686",299.39,302,297.66,298.86,1606200,298.86
"1687",300.14,300.22,296.2,297.92,1350600,297.92
"1688",299.82,301,295.26,296.06,1808400,296.06
"1689",297.63,304.65,296.01,304.17,2296500,304.17
"1690",304.06,312.74,302.91,312.03,2946400,312.03
"1691",313.77,314.54,311.04,312.06,2350900,312.06
